tmo,Integer_Adjustment,LONG_TERM_LOAN_FLOATER_ACBD,LONG_TERM_LOAN_FLOATER_USCB,loans_ACB_USCB,loans_ACB_USCByoy,LongTermLn_Float_Totyoy,LONG_TERM_LOAN_FLOATER_USCByoy,LONG_TERM_LOAN_FLOATER_ACBDyoy,BAA_Spread,mo_CFed_CapSpendIndex,CI_Loans,Actuals_CI_Loansyoy,CFed_CapSpendIndex,tqu,mo_bfi_nominalyoy,mo_bfi_realyoy,dateBBBSpread,BBBSpread_Bloomberg,tda,BBBSpread_MUB,MUBf_CI_Loansyoy,_merge,ICE1mL,ICE3mL,FedFundsEffective,SwapRate3mL_1y,futureRateHikeExpect_1y3m
1/1/2016,0,23.27674862,20.78185893,44.05860901,23.40270805,21.6368618,10.77378082,37.38687897,3.36,-17.97650909,1959.946,9.811022758,,1/1/2016,-0.279116631,0.825830658, 1/29/2016,2.17,1/29/2016,2.551553249,9.862289429,matched (3),0.425,0.6126,0.29,0.6935,0.080899999
2/1/2016,0,24.27295243,21.27141056,45.54436493,26.20122147,23.96350288,12.78915596,40.88230515,3.56,-21.97452354,1989.9638,10.11052704,-21.97452354,1/1/2016,-0.942159772,-0.543742021, 2/29/2016,2.28,2/29/2016,2.84389472,10.16203308,matched (3),0.4405,0.6331,0.29,0.7425,0.109399997
3/1/2016,0,24.63335363,21.32189161,45.95524597,22.43221855,21.8754921,8.619958878,37.574646,3.24,-8.157099724,2030.7485,10.20552444,-8.157099724,1/1/2016,-1.605202913,-1.9133147, 3/31/2016,1.99,3/31/2016,2.613803387,10.35443306,matched (3),0.43725,0.6286,0.25,0.74,0.111400001
4/1/2016,0,24.73846095,21.98454511,46.7230072,21.86529922,22.51589012,8.022418976,37.5272522,2.98,-17.28609705,2052.7923,10.24823761,,4/1/2016,-1.525733232,-2.203629573, 4/29/2016,1.79,4/29/2016,2.493925333,10.45459938,matched (3),0.43575,0.6366,0.3,0.7823,0.145699993
5/1/2016,0,24.76362207,22.20724383,46.97086716,20.77918434,20.31890678,4.566176891,40.28499985,2.87,-26.41509438,2066.0949,10.1234045,-26.41509438,4/1/2016,-1.446263552,-2.493944446, 5/31/2016,1.76,5/31/2016,2.262555122,10.30409145,matched (3),0.46885,0.6858,0.29,0.8715,0.185699999
6/1/2016,0,24.73843208,21.83346968,46.57190323,19.52898788,19.6166687,1.842949629,41.16498566,2.89,-21.85430527,2066.78,9.250547409,-21.85430527,4/1/2016,-1.366793871,-2.784259319, 6/30/2016,1.83,6/30/2016,2.217700958,9.520471573,matched (3),0.46505,0.6541,0.3,0.6755,0.021400001
7/1/2016,0,24.83423846,21.99247522,46.82671356,18.05417824,18.65122986,-0.741250336,41.83916092,2.72,-15.91054106,2062.6211,9.11034584,,7/1/2016,-1.256458561,-2.747870445, 7/29/2016,1.69,7/29/2016,2.206228733,9.348424911,matched (3),0.4959,0.7591,0.3,0.8235,0.064400002
8/1/2016,0,25.06465047,22.32442085,47.3890686,16.55861473,17.09962845,1.375959635,34.49988937,2.68,-9.966776848,2052.6822,8.214259148,-9.966776848,7/1/2016,-1.14612325,-2.711481571, 8/31/2016,1.65,8/31/2016,2.103650808,8.432335854,matched (3),0.52489,0.83933,0.3,0.966,0.126670003
9/1/2016,0,26.60492669,21.70973514,48.31466293,18.02964592,18.36533356,8.646033287,26.97874451,2.68,-6.143344879,2069.6626,8.826906204,-6.143344879,7/1/2016,-1.03578794,-2.675092697, 9/30/2016,1.65,9/30/2016,2.122591257,8.905119896,matched (3),0.53111,0.85367,0.29,0.946,0.092330001
10/1/2016,0,27.31609157,21.71364873,49.02973938,13.74438858,14.07853413,3.464921236,23.49766731,2.62,-12.41593456,2091.7731,8.729752541,,10/1/2016,-0.489596824,-1.47628361,10/31/2016,1.59,10/31/2016,2.160699368,8.88217926,matched (3),0.53378,0.88428,0.31,0.9885,0.104220003
11/1/2016,0,27.34132218,21.62560316,48.96692657,13.45258236,11.35612392,4.926780701,21.24479866,2.57,-18.68852425,2096.7146,8.030093193,-18.68852425,10/1/2016,0.056594292,-0.277474523,11/30/2016,1.58,11/30/2016,1.953346372,8.074379921,matched (3),0.62367,0.93417,0.31,1.1028,0.168630004
12/1/2016,0,28.90409575,20.61096939,49.51506424,13.22980309,10.9686079,1.568870664,23.32622337,2.34,-25.08361244,2094.7066,7.208424568,-25.08361244,10/1/2016,0.602785408,0.921334565,12/30/2016,1.5,12/30/2016,1.721546173,7.358179569,matched (3),0.77167,0.99789,0.55,1.1909,0.193010002
1/1/2017,0,27.90196849,20.71241226,48.61437988,10.34025097,6.632125378,-0.334169686,19.87055779,2.23,-21.88606834,2091.754,6.725083351,,1/1/2017,1.743730267,1.165798068, 1/31/2017,1.5,1/31/2017,1.834788322,6.839914322,matched (3),0.77944,1.03456,0.56,1.2464,0.211840004
